File name, Read_Time, 4, reduction_time_4, process_time_4, total_time_4, 8, reduction_time_8, process_time_8, total_time_8, 16, reduction_time_16, process_time_16, total_time_16, 32, reduction_time_32, process_time_32, total_time_32, 64, reduction_time_64, process_time_64, total_time_64
myciel3.dot, 0.14484667778015137, True, 0.04452633857727051, 0.2513082027435303, 0.2958345413208008, True, 0.0009264945983886719, 0.035018205642700195, 0.03594470024108887, True, 0.0008881092071533203, 0.037774085998535156, 0.03866219520568848, True, 0.0008759498596191406, 0.041236162185668945, 0.042112112045288086, True, 0.0009050369262695312, 0.04452371597290039, 0.04542875289916992
myciel4.dot, 0.05319929122924805, T, T, T, T, True, 0.001233816146850586, 0.3303680419921875, 0.3316018581390381, True, 0.0011870861053466797, 0.28272294998168945, 0.28391003608703613, True, 0.001191854476928711, 0.29820895195007324, 0.29940080642700195, True, 0.0011909008026123047, 0.31489992141723633, 0.31609082221984863
2-Insertions_3.dot, 0.044158220291137695, True, 0.0014443397521972656, 0.7879910469055176, 0.7894353866577148, True, 0.0016036033630371094, 0.7527527809143066, 0.7543563842773438, True, 0.0015857219696044922, 0.8007447719573975, 0.802330493927002, True, 0.0016684532165527344, 0.8177354335784912, 0.819403886795044, True, 0.0015869140625, 0.8799793720245361, 0.8815662860870361
qwhopt.order5.holes10.1.dot, 0.06120920181274414, False, 0.001383066177368164, 0.24525189399719238, 0.24663496017456055, True, 0.0013325214385986328, 0.7219536304473877, 0.7232861518859863, True, 0.0014967918395996094, 0.6986446380615234, 0.700141429901123, True, 0.0014190673828125, 0.9399209022521973, 0.9413399696350098, True, 0.0014081001281738281, 1.0140774250030518, 1.0154855251312256
qwhdec.order5.holes10.1.dot, 0.061128854751586914, False, 0.0013794898986816406, 0.24572134017944336, 0.247100830078125, True, 0.0013616085052490234, 0.7219204902648926, 0.7232820987701416, True, 0.001383066177368164, 0.7164366245269775, 0.7178196907043457, True, 0.0013985633850097656, 0.9163234233856201, 0.9177219867706299, True, 0.0015175342559814453, 1.017324447631836, 1.0188419818878174
1-FullIns_3.dot, 0.06122541427612305, True, 0.0016841888427734375, 1.6364960670471191, 1.6381802558898926, True, 0.0017082691192626953, 0.8994934558868408, 0.9012017250061035, True, 0.0017137527465820312, 0.9347958564758301, 0.9365096092224121, True, 0.0017359256744384766, 0.8901870250701904, 0.8919229507446289, True, 0.0019364356994628906, 0.9976973533630371, 0.9996337890625
3-Insertions_3.dot, 0.06757497787475586, True, 0.0018231868743896484, 2.580962657928467, 2.5827858448028564, True, 0.0017955303192138672, 2.594639778137207, 2.596435308456421, True, 0.0018198490142822266, 2.7007341384887695, 2.7025539875030518, True, 0.0018494129180908203, 2.6841251850128174, 2.685974597930908, True, 0.001865386962890625, 2.867096424102783, 2.868961811065674
mug88_25.dot, 0.08913779258728027, True, 0.002187013626098633, 9.520177125930786, 9.522364139556885, True, 0.0022270679473876953, 8.823007583618164, 8.825234651565552, True, 0.002262115478515625, 9.010153532028198, 9.012415647506714, True, 0.002265453338623047, 9.33334755897522, 9.335613012313843, True, 0.002295255661010742, 9.552558422088623, 9.554853677749634
mug88_1.dot, 0.1020359992980957, True, 0.001953125, 9.334473848342896, 9.336426973342896, True, 0.0019829273223876953, 8.236137390136719, 8.238120317459106, True, 0.0019974708557128906, 8.587280988693237, 8.58927845954895, True, 0.001987457275390625, 8.895898580551147, 8.897886037826538, True, 0.0020203590393066406, 9.101815223693848, 9.103835582733154
4-Insertions_3.dot, 0.09453344345092773, True, 0.001972675323486328, 7.646634340286255, 7.648607015609741, True, 0.002012968063354492, 7.850627183914185, 7.852640151977539, True, 0.0020494461059570312, 8.085463523864746, 8.087512969970703, True, 0.002030611038208008, 8.25805377960205, 8.260084390640259, True, 0.0020804405212402344, 8.459948539733887, 8.462028980255127
mug100_25.dot, 0.10119175910949707, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T
mug100_1.dot, 0.10070681571960449, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T
2-FullIns_3.dot, 0.12200284004211426, T, T, T, T, True, 0.0022590160369873047, 3.4863221645355225, 3.4885811805725098, True, 0.002231597900390625, 3.775143623352051, 3.7773752212524414, True, 0.002266407012939453, 5.283480644226074, 5.285747051239014, True, 0.0022954940795898438, 5.175800561904907, 5.178096055984497
1-Insertions_4.dot, 0.15262508392333984, T, T, T, T, True, 0.0022475719451904297, 6.00601053237915, 6.008258104324341, True, 0.0022208690643310547, 5.404101610183716, 5.406322479248047, True, 0.0022444725036621094, 5.5451624393463135, 5.547406911849976, True, 0.0022368431091308594, 5.525311231613159, 5.52754807472229
myciel5.dot, 0.14292526245117188, T, T, T, T, T, T, T, T, True, 0.0022764205932617188, 2.659421920776367, 2.661698341369629, True, 0.0022466182708740234, 2.526550531387329, 2.528797149658203, True, 0.002249002456665039, 2.5333356857299805, 2.5355846881866455
queen5_5.dot, 0.09708857536315918, False, 0.0018744468688964844, 1.7226893901824951, 1.7245638370513916, True, 0.0017020702362060547, 1.729048490524292, 1.730750560760498, True, 0.0017418861389160156, 1.1883823871612549, 1.190124273300171, True, 0.0017468929290771484, 1.2873477935791016, 1.2890946865081787, True, 0.0017635822296142578, 1.5745065212249756, 1.5762701034545898
3-FullIns_3.dot, 0.20747995376586914, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T
jean.dot, 0.16706275939941406, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T
