File name, Read_Time, 4, reduction_time_4, process_time_4, total_time_4, 8, reduction_time_8, process_time_8, total_time_8, 16, reduction_time_16, process_time_16, total_time_16, 32, reduction_time_32, process_time_32, total_time_32, 64, reduction_time_64, process_time_64, total_time_64
myciel3.dot, 0.1477522850036621, True, 0.07393741607666016, 0.282956600189209, 0.35689401626586914, True, 0.0009462833404541016, 0.0369265079498291, 0.0378727912902832, True, 0.0009200572967529297, 0.0402984619140625, 0.04121851921081543, True, 0.0009286403656005859, 0.04429817199707031, 0.0452268123626709, True, 0.0008900165557861328, 0.048002004623413086, 0.04889202117919922
myciel4.dot, 0.054696083068847656, T, T, T, T, True, 0.001268148422241211, 0.33711695671081543, 0.33838510513305664, True, 0.0012428760528564453, 0.2903573513031006, 0.29160022735595703, True, 0.0012364387512207031, 0.3063483238220215, 0.3075847625732422, True, 0.0012462139129638672, 0.32441163063049316, 0.32565784454345703
2-Insertions_3.dot, 0.045007944107055664, True, 0.0015177726745605469, 0.7851839065551758, 0.7867016792297363, True, 0.0015506744384765625, 0.7718343734741211, 0.7733850479125977, True, 0.0016443729400634766, 0.8134989738464355, 0.815143346786499, True, 0.001590728759765625, 0.8439536094665527, 0.8455443382263184, True, 0.0015938282012939453, 0.8841559886932373, 0.8857498168945312
qwhopt.order5.holes10.1.dot, 0.06218600273132324, False, 0.0014340877532958984, 0.24924993515014648, 0.2506840229034424, True, 0.0013570785522460938, 0.7345478534698486, 0.7359049320220947, True, 0.0014116764068603516, 0.7331531047821045, 0.7345647811889648, True, 0.0014195442199707031, 0.9576756954193115, 0.9590952396392822, True, 0.001432180404663086, 1.0515968799591064, 1.0530290603637695
qwhdec.order5.holes10.1.dot, 0.062023162841796875, False, 0.0014443397521972656, 0.24892568588256836, 0.2503700256347656, True, 0.0014138221740722656, 0.7324960231781006, 0.7339098453521729, True, 0.0014884471893310547, 0.7363271713256836, 0.7378156185150146, True, 0.0014767646789550781, 0.9567415714263916, 0.9582183361053467, True, 0.0014765262603759766, 1.0493502616882324, 1.0508267879486084
1-FullIns_3.dot, 0.06223177909851074, True, 0.0017533302307128906, 1.6371352672576904, 1.6388885974884033, True, 0.0017676353454589844, 0.9088864326477051, 0.9106540679931641, True, 0.00176239013671875, 0.9479568004608154, 0.9497191905975342, True, 0.0017719268798828125, 0.9024953842163086, 0.9042673110961914, True, 0.001791238784790039, 0.9694502353668213, 0.9712414741516113
3-Insertions_3.dot, 0.06830787658691406, True, 0.0017080307006835938, 2.5612337589263916, 2.562941789627075, True, 0.0019481182098388672, 2.575390577316284, 2.577338695526123, True, 0.0018587112426757812, 2.6721441745758057, 2.6740028858184814, True, 0.001954317092895508, 2.7445790767669678, 2.7465333938598633, True, 0.001890420913696289, 2.8761091232299805, 2.8779995441436768
mug88_25.dot, 0.09069395065307617, True, 0.0022809505462646484, 9.420741081237793, 9.423022031784058, True, 0.002343893051147461, 9.102947473526001, 9.105291366577148, True, 0.0023505687713623047, 9.009815692901611, 9.012166261672974, True, 0.0023622512817382812, 9.288329839706421, 9.29069209098816, True, 0.002331256866455078, 9.580256223678589, 9.582587480545044
mug88_1.dot, 0.10366368293762207, True, 0.0020351409912109375, 9.239981412887573, 9.242016553878784, True, 0.0020906925201416016, 8.347799301147461, 8.349889993667603, True, 0.002086162567138672, 8.610095262527466, 8.612181425094604, True, 0.0020694732666015625, 8.877511978149414, 8.879581451416016, True, 0.0020902156829833984, 9.121962308883667, 9.12405252456665
4-Insertions_3.dot, 0.09627103805541992, True, 0.002092599868774414, 7.58210825920105, 7.584200859069824, True, 0.0021305084228515625, 7.791481018066406, 7.793611526489258, True, 0.0021436214447021484, 8.02180290222168, 8.023946523666382, True, 0.002117156982421875, 8.306952714920044, 8.309069871902466, True, 0.002116680145263672, 8.590651512145996, 8.59276819229126
mug100_25.dot, 0.10265827178955078, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T
mug100_1.dot, 0.10230326652526855, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T
2-FullIns_3.dot, 0.12398838996887207, T, T, T, T, True, 0.002305746078491211, 3.4934401512145996, 3.495745897293091, True, 0.0023386478424072266, 3.8882088661193848, 3.890547513961792, True, 0.002297639846801758, 5.321219444274902, 5.323517084121704, True, 0.0023419857025146484, 5.24388313293457, 5.246225118637085
1-Insertions_4.dot, 0.15492749214172363, T, T, T, T, True, 0.0023012161254882812, 6.007283449172974, 6.009584665298462, True, 0.002319812774658203, 5.4292662143707275, 5.431586027145386, True, 0.002284526824951172, 5.556572914123535, 5.558857440948486, True, 0.002292156219482422, 5.747483491897583, 5.749775648117065
myciel5.dot, 0.14514970779418945, T, T, T, T, T, T, T, T, True, 0.002344369888305664, 2.676581859588623, 2.6789262294769287, True, 0.002318859100341797, 2.4978599548339844, 2.500178813934326, True, 0.002309083938598633, 2.5957489013671875, 2.598057985305786
queen5_5.dot, 0.09853124618530273, False, 0.001964092254638672, 1.7108447551727295, 1.7128088474273682, True, 0.0017502307891845703, 1.7945528030395508, 1.7963030338287354, True, 0.0017354488372802734, 1.218196153640747, 1.2199316024780273, True, 0.0017914772033691406, 1.3256475925445557, 1.3274390697479248, True, 0.0018131732940673828, 1.6211485862731934, 1.6229617595672607
3-FullIns_3.dot, 0.2115333080291748, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T
jean.dot, 0.16938161849975586, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T
