File name, Read_Time, k, reduction_time, process_time, total_time
MANN_a27.dot, 40.62773156166077, T, T, T, T
gen400_p0.9_65.dot, 41.391480445861816, T, T, T, T
gen400_p0.9_75.dot, 41.59415602684021, T, T, T, T
gen400_p0.9_55.dot, 41.55764198303223, T, T, T, T
4-FullIns_5.dot, 44.87871813774109, T, T, T, T
wap07.dot, 60.20045709609985, T, T, T, T
wap07a.dot, 59.97100329399109, T, T, T, T
wap08a.dot, 60.426292181015015, T, T, T, T
wap08.dot, 60.45389461517334, T, T, T, T
wap01a.dot, 64.45970869064331, T, T, T, T
wap01.dot, 64.38259172439575, T, T, T, T
wap02a.dot, 65.11805748939514, T, T, T, T
wap02.dot, 65.10098028182983, T, T, T, T
DSJR500.1c.dot, 70.52538251876831, T, T, T, T
p_hat700-2.dot, 70.94380307197571, T, T, T, T
qwhopt.order50.holes750.bal.1.dot, 70.92851066589355, T, T, T, T
qwhdec.order50.holes750.bal.1.dot, 71.22919464111328, T, T, T, T
qwhopt.order50.holes825.bal.1.dot, 71.46547269821167, T, T, T, T
qwhdec.order50.holes825.bal.1.dot, 71.52729105949402, T, T, T, T
DSJC500.5.dot, 36.31587886810303, T, T, T, T
p_hat700-3.dot, 107.05281710624695, T, T, T, T
brock800_4.dot, 122.39338898658752, T, T, T, T
brock800_2.dot, 121.39993000030518, T, T, T, T
qg.order60.dot, 123.6184401512146, T, T, T, T
qwhopt.order60.holes1080.bal.1.dot, 124.01315546035767, T, T, T, T
qwhdec.order60.holes1152.bal.1.dot, 123.52759671211243, T, T, T, T
qwhdec.order60.holes1440.1.dot, 122.79250812530518, T, T, T, T
qwhdec.order60.holes1080.bal.1.dot, 123.95931148529053, T, T, T, T
qwhopt.order60.holes1152.bal.1.dot, 124.23759818077087, T, T, T, T
qwhdec.order60.holes1620.1.dot, 123.77903413772583, T, T, T, T
qwhopt.order60.holes1440.1.dot, 123.69359970092773, T, T, T, T
qwhopt.order60.holes1620.1.dot, 123.95761799812317, T, T, T, T
DSJC500.9.dot, 65.46492791175842, T, T, T, T
keller5.dot, 131.7066023349762, T, T, T, T
DSJC1000.5.dot, 146.24492263793945, T, T, T, T
p_hat1500-1.dot, 163.87322854995728, T, T, T, T
wap03a.dot, 166.82277059555054, T, T, T, T
wap03.dot, 166.2842824459076, T, T, T, T
wap04a.dot, 172.15899872779846, T, T, T, T
wap04.dot, 171.13161206245422, T, T, T, T
latin_square_10.dot, 180.28718161582947, T, T, T, T
qwhopt.order70.holes2940.1.dot, 198.18668818473816, T, T, T, T
qwhopt.order70.holes2450.1.dot, 196.89560651779175, T, T, T, T
qwhdec.order70.holes2940.1.dot, 196.50899076461792, T, T, T, T
qwhdec.order70.holes2450.1.dot, 197.49164152145386, T, T, T, T
hamming10-4.dot, 254.53339314460754, T, T, T, T
DSJC1000.9.dot, 266.88751339912415, T, T, T, T
DSJC1000.5.dot, 146.34766745567322, T, T, T, T
MANN_a45.dot, 312.0436406135559, T, T, T, T
p_hat1500-2.dot, 335.38930773735046, T, T, T, T
p_hat1500-3.dot, 499.7638728618622, T, T, T, T
qg.order100.dot, 584.1690514087677, T, T, T, T
keller6.dot, 2719.0043053627014, T, T, T, T
MANN_a81.dot, 3244.5376241207123, T, T, T, T
